Source,Contributor,Genus,Species,Slide Number/Description,Aperio Filename,Stain,Accession Number,Processing,Comments,Date Collected,Date Received,Date Sent To Aperio,Sample,Infect/Non,Study,Collection Site,Histopathologic Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,12,Echino 12.svs,Hall's Bile,2007Stain040,,"Echino Healthy
Al Hall's",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,17,Echino 17.svs,Masson,2007Stain041,,"Echino Healthy
Masson",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,22,Echino 22.svs,Rhodanine,2007Stain042,,"Echino Healthy
Al Rhodanine 3/1/07",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,27,Echino 27.svs,Steiner ,2007Stain043,,"Echino Healthy
Steiner 1 Al 2/22/07",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,32,Echino 32.svs,Bodian,2007Stain044,,"Echino Healthy
Al Bodian",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,37,Echino 37.svs,Movat,2007Stain045,,"Echino Healthy
Movat",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,42,Echino 42.svs,Schmorl,2007Stain046,,"Echino Healthy
Al Schmorl",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,47,Echino 47.svs,MGP,2007Stain047,,"Echino Healthy
MGP",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,52,Echino 52.svs,Gram Twort,2007Stain048,,"Echino Healthy
gram Twort",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,57,Echino 57.svs,B&B,2007Stain049,,"Echino Healthy
Al B&B",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,1,Echino 01.svs,H&E,2007Stain050,,"Echino Healthy
Al H&E",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,2,Echino 02.svs,Steiner,2007Stain051,,"Echino Healthy
Al Steiner ",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,9,Echino 09.svs,Masson,2007Stain052,,Echino Healthy A1 Masson 2/26/07,,,2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,10,Echino 10.svs,S+S,2007Stain053,,Echino Healthy A1 S+S,,,2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,3,Echino A13.svs,B&B,2007Stain054,,Echino Healthy B&B A1,,,2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,X,Echino A13x.svs,B,2007Stain055,,Echino Healthy A1,,,2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,10,Portis 10.svs,Iron,,,"Porits S.dis. Bx
Iron",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,15,Portis 15.svs,Hall's Bile,,,"Porits S.dis. Bx
Hall's",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,20,Portis 20.svs,Masson,2007Stain058,,"Porits S.dis. Bx
Masson",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,lutea,25,Portis 25.svs,Rhodanine,2007Stain059,,"Porits S.dis. Bx
Rhodanine 3/1/07",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
